letter,weight,norm_weight,center,rel_center,inertia,norm_inertia
a,283,0.5615079365079365,"(10.80565371024735, 10.484098939929329)","(0.4502355712603063, 0.49924280666330134)","(12144.31095406361, 11448.678445229674)","(0.04780923624521137, 0.04507069808685151)"
b,608,0.6846846846846847,"(17.13157894736842, 11.669407894736842)","(0.46301564722617355, 0.4862253289473684)","(72611.47368421058, 29254.55098684213)","(0.09208297023908694, 0.037099452899067305)"
c,283,0.6206140350877193,"(11.268551236749117, 9.742049469964664)","(0.46952296819787986, 0.5127394457876139)","(12047.59010600706, 7754.169611307431)","(0.057938933643077964, 0.037291135788451404)"
d,587,0.661036036036036,"(16.16695059625213, 11.27427597955707)","(0.436944610709517, 0.46976149914821125)","(64057.63884156709, 28814.84156729131)","(0.08123533860072119, 0.036541830978729546)"
e,276,0.575,"(11.605072463768115, 10.22463768115942)","(0.4835446859903381, 0.511231884057971)","(12565.952898550715, 9144.072463768121)","(0.05453972612218192, 0.039687814512882474)"
f,546,0.7222222222222222,"(17.831501831501832, 10.655677655677655)","(0.4953194953194953, 0.507413221698936)","(55230.49816849808, 22915.26739926735)","(0.09663520437644887, 0.04009418024283221)"
g,473,0.6048593350383632,"(16.32135306553911, 11.418604651162791)","(0.480039796045268, 0.49646107178968657)","(44081.15433403802, 21841.116279069774)","(0.07208409536508464, 0.035715877511053984)"
h,620,0.6888888888888889,"(16.08225806451613, 12.929032258064517)","(0.4467293906810036, 0.5171612903225806)","(65144.8048387096, 32388.877419354867)","(0.08042568498606123, 0.039986268418956625)"
i,254,0.6414141414141414,"(15.023622047244094, 5.062992125984252)","(0.41732283464566927, 0.4602720114531138)","(24785.858267716525, 3516.992125984253)","(0.1580569474270261, 0.02242750820059339)"
j,481,0.7310030395136778,"(21.426195426195427, 5.218295218295219)","(0.45587649842968997, 0.37273537273537277)","(86823.62993762988, 6142.079002079041)","(0.2005331388698134, 0.01418611940502915)"
k,634,0.6773504273504274,"(15.899053627760253, 13.88801261829653)","(0.44164037854889593, 0.5341543314729434)","(64141.53943217665, 39645.04889589908)","(0.07321291209202718, 0.04525194601493339)"
l,205,0.5176767676767677,"(17.01951219512195, 5.078048780487805)","(0.47276422764227644, 0.4616407982261641)","(20381.92195121944, 3410.7512195121944)","(0.12997348453741608, 0.02175002053050833)"
m,500,0.5574136008918618,"(10.972, 19.356)","(0.47704347826086957, 0.49630769230769234)","(19369.608000000033, 63158.63200000014)","(0.024073317598982902, 0.07849605460540479)"
n,348,0.6052173913043478,"(10.89080459770115, 12.482758620689655)","(0.47351324337831086, 0.4993103448275862)","(13247.850574712636, 18892.89655172412)","(0.04006911326945221, 0.05714297633791794)"
̱,567,0.6670588235294117,"(15.564373897707231, 12.345679012345679)","(0.4577757028737421, 0.49382716049382713)","(51603.40035273364, 32182.24691358015)","(0.07142339149167286, 0.044542902302533084)"
o,307,0.5814393939393939,"(11.433224755700326, 10.439739413680782)","(0.47638436482084695, 0.4745336097127628)","(15109.381107491887, 9979.635179153096)","(0.0541974471543987, 0.03579701553587399)"
p,527,0.6458333333333334,"(17.802656546489562, 11.696394686907022)","(0.5236075454849871, 0.4873497786211259)","(48675.47628083465, 25297.423149905095)","(0.07310210658285672, 0.03799233340227481)"
q,544,0.6666666666666666,"(17.091911764705884, 11.386029411764707)","(0.5027032871972319, 0.47441789215686275)","(53663.40441176478, 26404.933823529434)","(0.08059310783677669, 0.03965562197161163)"
r,277,0.6690821256038647,"(11.52346570397112, 9.263537906137184)","(0.5010202479987443, 0.5146409947853992)","(10189.097472924172, 8949.761732851981)","(0.05944769698781869, 0.05221686464591928)"
s,196,0.5444444444444444,"(11.551020408163266, 7.0)","(0.48129251700680276, 0.4666666666666667)","(8602.489795918364, 3238.0)","(0.066377236079617, 0.02498456790123457)"
t,262,0.6501240694789081,"(14.217557251908397, 6.309160305343512)","(0.4586308790938193, 0.48532002348796244)","(21720.599236641207, 4773.958015267175)","(0.1337401205391401, 0.0293946641828173)"
u,379,0.6337792642140468,"(10.744063324538258, 12.356200527704486)","(0.46713318802340253, 0.4752384818347879)","(15324.174142480211, 23244.912928759895)","(0.04285235663605612, 0.06500182584299923)"
v,468,0.782608695652174,"(11.668803418803419, 12.797008547008547)","(0.5073392790784095, 0.49219263642340566)","(19759.66452991457, 29689.71581196581)","(0.0552557145051917, 0.0830240036799527)"
w,580,0.681551116333725,"(11.786206896551723, 18.26551724137931)","(0.5124437781109445, 0.49366262814538675)","(25255.489655172405, 76417.11034482754)","(0.0348735912476956, 0.10551920025632047)"
x,338,0.6401515151515151,"(10.579881656804734, 11.73076923076923)","(0.48090371167294244, 0.48878205128205127)","(11216.343195266269, 19636.500000000025)","(0.040233095139126596, 0.07043625172176318)"
y,663,0.7727272727272727,"(16.957767722473605, 12.894419306184012)","(0.5138717491658669, 0.4959392040840005)","(55904.817496229385, 41510.609351432926)","(0.07594071089625326, 0.0563877197899285)"
z,281,0.6082251082251082,"(10.263345195729537, 9.679715302491104)","(0.46651569071497895, 0.46093882392814783)","(7472.512455516015, 11445.174377224192)","(0.03500924109141515, 0.05362143877187549)"
